# date	semester	announcements added to the student-facing announcement slide
# Reporting reminders use a longer lead time because students need to take action.
# Emergency procedure reminders appear one school day before the drill only.
2026-09-23	semester-1	**Tomorrow:** Fire drill at 1:15 PM. Follow evacuation procedures and teacher directions.
2026-09-30	semester-1	**Tomorrow:** Fire drill at 9:30 AM. Follow evacuation procedures and teacher directions.
2026-10-05	semester-1	**Tomorrow:** Fire drill at 9:30 AM. Follow evacuation procedures and teacher directions.
2026-10-13	semester-1	**Early Progress reporting in 5 school days:** Check that your work is up to date and submit any outstanding evidence you want considered.
2026-10-14	semester-1	**Tomorrow:** Lockdown drill at 2:00 PM. Follow the lockdown procedure and teacher directions.
2026-10-16	semester-1	**Early Progress reporting:** Submit outstanding work today if you want to guarantee I have time to assess it before marks are due on Tuesday, October 20.
2026-10-20	semester-1	**Early Progress reporting is being finalized today.** Work submitted after the announced cutoff may not appear in this reporting update.
2026-11-06	semester-1	**Midterm reporting in 5 school days:** Check your submitted work and complete any missing or outstanding evidence you want considered.
2026-11-11	semester-1	**Midterm reporting:** Submit outstanding work today if you want to guarantee I have time to assess it before marks are due on Friday, November 13.
2026-11-13	semester-1	**Midterm reporting is being finalized today.** Work submitted after the announced cutoff may not appear in this reporting update.
2027-01-27	semester-1	**Final reporting:** Complete outstanding course work and confirm your final evaluation schedule. Scheduled exams and final evaluations are still assessed on their assigned dates.
2027-02-01	semester-1	**Outstanding course work cutoff:** Submit remaining non-exam work today if you want to guarantee it can be assessed before final marks are due on Thursday, February 4. Scheduled final evaluations still count on their assigned dates.
2027-03-09	semester-2	**Early Progress reporting in 5 school days:** Reporting is coming up after Spring Break. Check your work now and submit any outstanding evidence you want considered.
2027-03-12	semester-2	**Early Progress reporting:** Today is the last school day before Spring Break. Submit outstanding work today if you want to guarantee I have time to assess it before marks are due on Tuesday, March 23.
2027-03-23	semester-2	**Early Progress reporting is being finalized today.** Work submitted after the announced cutoff may not appear in this reporting update.
2027-03-24	semester-2	**Tomorrow:** Bomb threat visual scan drill at 12:15 PM. Follow teacher directions and the school procedure.
2027-03-25	semester-2	**Today:** Early Progress Reports are distributed electronically.
2027-04-14	semester-2	**Midterm reporting in 5 school days:** Check your submitted work and complete any missing or outstanding evidence you want considered.
2027-04-19	semester-2	**Midterm reporting:** Submit outstanding work today if you want to guarantee I have time to assess it before marks are due on Wednesday, April 21.
2027-04-21	semester-2	**Midterm reporting is being finalized today.** Work submitted after the announced cutoff may not appear in this reporting update.
2027-04-23	semester-2	**Today:** Midterm Report Cards are distributed electronically.
2027-04-28	semester-2	**Tomorrow:** Lockdown drill at 2:00 PM. Follow the lockdown procedure and teacher directions.
2027-05-12	semester-2	**Tomorrow:** Fire drill at 9:30 AM. Follow evacuation procedures and teacher directions.
2027-05-19	semester-2	**Tomorrow:** Fire drill at 9:30 AM. Follow evacuation procedures and teacher directions.
2027-05-26	semester-2	**Tomorrow:** Fire drill at 1:15 PM. Follow evacuation procedures and teacher directions.
2027-06-18	semester-2	**Grade 12 final reporting:** Final marks are due Friday, June 25. Make sure outstanding course work is submitted and your final evaluation requirements are clear.
2027-06-21	semester-2	**Grades 9-11 final reporting:** Final marks are due Monday, June 28. Make sure outstanding course work is submitted and your final evaluation requirements are clear.
2027-06-23	semester-2	**Grade 12 outstanding course work cutoff:** If you are in Grade 12, submit any remaining non-exam work today to guarantee time for assessment before final marks are due Friday, June 25. Scheduled final evaluations still count on their assigned dates.
2027-06-24	semester-2	**Grades 9-11 outstanding course work cutoff:** If you are in Grades 9-11, submit any remaining non-exam work today to guarantee time for assessment before final marks are due Monday, June 28. Scheduled final evaluations still count on their assigned dates.
2027-06-25	semester-2	**Grade 12 final marks are submitted today.** Grades 9-11 final marks are submitted Monday, June 28.
